name,chr,start,stop,
lncRNA:CR46131,3R,6585431,6586105,"{""name"":""lncRNA:CR46131"",""chr"":""3R"",""start"":6585431,""stop"":6586105},"
lncRNA:CR46132,3R,6554317,6554999,"{""name"":""lncRNA:CR46132"",""chr"":""3R"",""start"":6554317,""stop"":6554999},"
asRNA:CR46133,3R,5858195,5858894,"{""name"":""asRNA:CR46133"",""chr"":""3R"",""start"":5858195,""stop"":5858894},"
asRNA:CR46134,3R,5662901,5665032,"{""name"":""asRNA:CR46134"",""chr"":""3R"",""start"":5662901,""stop"":5665032},"
asRNA:CR46135,3R,5613280,5616308,"{""name"":""asRNA:CR46135"",""chr"":""3R"",""start"":5613280,""stop"":5616308},"
asRNA:CR46136,3R,5560472,5561573,"{""name"":""asRNA:CR46136"",""chr"":""3R"",""start"":5560472,""stop"":5561573},"
asRNA:CR46137,3R,4737500,4737908,"{""name"":""asRNA:CR46137"",""chr"":""3R"",""start"":4737500,""stop"":4737908},"
asRNA:CR46138,3R,4434624,4436101,"{""name"":""asRNA:CR46138"",""chr"":""3R"",""start"":4434624,""stop"":4436101},"
asRNA:CR46139,3R,4393350,4394493,"{""name"":""asRNA:CR46139"",""chr"":""3R"",""start"":4393350,""stop"":4394493},"
asRNA:CR46140,3R,4309944,4310869,"{""name"":""asRNA:CR46140"",""chr"":""3R"",""start"":4309944,""stop"":4310869},"
lncRNA:CR46141,3R,3697234,3697640,"{""name"":""lncRNA:CR46141"",""chr"":""3R"",""start"":3697234,""stop"":3697640},"
lncRNA:CR46142,3R,7997606,7998352,"{""name"":""lncRNA:CR46142"",""chr"":""3R"",""start"":7997606,""stop"":7998352},"
lncRNA:CR46143,3R,7995985,7997435,"{""name"":""lncRNA:CR46143"",""chr"":""3R"",""start"":7995985,""stop"":7997435},"
asRNA:CR46144,3R,9795008,9796050,"{""name"":""asRNA:CR46144"",""chr"":""3R"",""start"":9795008,""stop"":9796050},"
asRNA:CR46145,3R,9393890,9394737,"{""name"":""asRNA:CR46145"",""chr"":""3R"",""start"":9393890,""stop"":9394737},"
da,2L,10388105,10393228,"{""name"":""da"",""chr"":""2L"",""start"":10388105,""stop"":10393228},"
Gmer,2R,22887574,22888857,"{""name"":""Gmer"",""chr"":""2R"",""start"":22887574,""stop"":22888857},"
PRAS40,2R,14481187,14497312,"{""name"":""PRAS40"",""chr"":""2R"",""start"":14481187,""stop"":14497312},"
lncRNA:CR46147,X,16645867,16646167,"{""name"":""lncRNA:CR46147"",""chr"":""X"",""start"":16645867,""stop"":16646167},"
lncRNA:CR46148,2L,588048,588784,"{""name"":""lncRNA:CR46148"",""chr"":""2L"",""start"":588048,""stop"":588784},"
Fatp1,2L,10510672,10517218,"{""name"":""Fatp1"",""chr"":""2L"",""start"":10510672,""stop"":10517218},"
Syx7,3L,21445834,21448128,"{""name"":""Syx7"",""chr"":""3L"",""start"":21445834,""stop"":21448128},"
Maf1,2R,1512810,1527095,"{""name"":""Maf1"",""chr"":""2R"",""start"":1512810,""stop"":1527095},"
CR46150,Y,3258406,3259223,"{""name"":""CR46150"",""chr"":""Y"",""start"":3258406,""stop"":3259223},"
CR46151,Y,3264145,3264418,"{""name"":""CR46151"",""chr"":""Y"",""start"":3264145,""stop"":3264418},"
CR46152,Y,3272835,3273532,"{""name"":""CR46152"",""chr"":""Y"",""start"":3272835,""stop"":3273532},"
lncRNA:CR46153,3R,14598223,14598517,"{""name"":""lncRNA:CR46153"",""chr"":""3R"",""start"":14598223,""stop"":14598517},"
CR46154,3R,12504977,12505250,"{""name"":""CR46154"",""chr"":""3R"",""start"":12504977,""stop"":12505250},"
CR46155,3R,12508260,12508533,"{""name"":""CR46155"",""chr"":""3R"",""start"":12508260,""stop"":12508533},"
lncRNA:CR46156,X,4313626,4314216,"{""name"":""lncRNA:CR46156"",""chr"":""X"",""start"":4313626,""stop"":4314216},"
CR46157,Y,3059061,3059480,"{""name"":""CR46157"",""chr"":""Y"",""start"":3059061,""stop"":3059480},"
CR46158,Y,3061391,3062109,"{""name"":""CR46158"",""chr"":""Y"",""start"":3061391,""stop"":3062109},"
CR46159,Y,3071943,3072466,"{""name"":""CR46159"",""chr"":""Y"",""start"":3071943,""stop"":3072466},"
CR46160,Y,3084618,3085392,"{""name"":""CR46160"",""chr"":""Y"",""start"":3084618,""stop"":3085392},"
CR46161,Y,3074924,3075180,"{""name"":""CR46161"",""chr"":""Y"",""start"":3074924,""stop"":3075180},"
CR46162,Y,3085424,3085676,"{""name"":""CR46162"",""chr"":""Y"",""start"":3085424,""stop"":3085676},"
CR46163,Y,3091730,3091891,"{""name"":""CR46163"",""chr"":""Y"",""start"":3091730,""stop"":3091891},"
CR46164,Y,3093052,3093817,"{""name"":""CR46164"",""chr"":""Y"",""start"":3093052,""stop"":3093817},"
CR46165,Y,3093855,3094575,"{""name"":""CR46165"",""chr"":""Y"",""start"":3093855,""stop"":3094575},"
CR46166,Y,3110839,3111104,"{""name"":""CR46166"",""chr"":""Y"",""start"":3110839,""stop"":3111104},"
CR46167,Y,3113044,3113644,"{""name"":""CR46167"",""chr"":""Y"",""start"":3113044,""stop"":3113644},"
CR46168,Y,3113685,3114094,"{""name"":""CR46168"",""chr"":""Y"",""start"":3113685,""stop"":3114094},"
CR46169,Y,3134941,3135206,"{""name"":""CR46169"",""chr"":""Y"",""start"":3134941,""stop"":3135206},"
CR46170,Y,3136899,3137576,"{""name"":""CR46170"",""chr"":""Y"",""start"":3136899,""stop"":3137576},"
CR46171,Y,3137617,3138026,"{""name"":""CR46171"",""chr"":""Y"",""start"":3137617,""stop"":3138026},"
CR46172,Y,3164949,3165401,"{""name"":""CR46172"",""chr"":""Y"",""start"":3164949,""stop"":3165401},"
CR46173,Y,3165390,3166079,"{""name"":""CR46173"",""chr"":""Y"",""start"":3165390,""stop"":3166079},"
CR46174,Y,3167772,3168037,"{""name"":""CR46174"",""chr"":""Y"",""start"":3167772,""stop"":3168037},"
CR46175,Y,3185268,3185720,"{""name"":""CR46175"",""chr"":""Y"",""start"":3185268,""stop"":3185720},"
CR46176,Y,3185709,3186398,"{""name"":""CR46176"",""chr"":""Y"",""start"":3185709,""stop"":3186398},"
CR46177,Y,3188367,3188632,"{""name"":""CR46177"",""chr"":""Y"",""start"":3188367,""stop"":3188632},"
CR46178,Y,3191215,3191491,"{""name"":""CR46178"",""chr"":""Y"",""start"":3191215,""stop"":3191491},"
CR46179,Y,3203123,3203840,"{""name"":""CR46179"",""chr"":""Y"",""start"":3203123,""stop"":3203840},"
CR46180,Y,3203881,3204640,"{""name"":""CR46180"",""chr"":""Y"",""start"":3203881,""stop"":3204640},"
CR46181,Y,3205803,3205967,"{""name"":""CR46181"",""chr"":""Y"",""start"":3205803,""stop"":3205967},"
CR46182,Y,3212762,3213536,"{""name"":""CR46182"",""chr"":""Y"",""start"":3212762,""stop"":3213536},"
CR46183,Y,3218291,3218817,"{""name"":""CR46183"",""chr"":""Y"",""start"":3218291,""stop"":3218817},"
CR46184,Y,3228674,3229392,"{""name"":""CR46184"",""chr"":""Y"",""start"":3228674,""stop"":3229392},"
CR46185,Y,3229424,3230181,"{""name"":""CR46185"",""chr"":""Y"",""start"":3229424,""stop"":3230181},"
CR46186,Y,3231310,3231723,"{""name"":""CR46186"",""chr"":""Y"",""start"":3231310,""stop"":3231723},"
CR46187,Y,3060612,3061377,"{""name"":""CR46187"",""chr"":""Y"",""start"":3060612,""stop"":3061377},"
CR46188,Y,3236012,3237041,"{""name"":""CR46188"",""chr"":""Y"",""start"":3236012,""stop"":3237041},"
CR46189,Y,3241623,3242076,"{""name"":""CR46189"",""chr"":""Y"",""start"":3241623,""stop"":3242076},"
CR46190,Y,3242065,3242646,"{""name"":""CR46190"",""chr"":""Y"",""start"":3242065,""stop"":3242646},"
CG46191,Y,3215547,3215855,"{""name"":""CG46191"",""chr"":""Y"",""start"":3215547,""stop"":3215855},"
CG46192,Y,3252956,3253357,"{""name"":""CG46192"",""chr"":""Y"",""start"":3252956,""stop"":3253357},"
CG46193,Y,3263180,3263488,"{""name"":""CG46193"",""chr"":""Y"",""start"":3263180,""stop"":3263488},"
lncRNA:CR34335,X,3545750,3546110,"{""name"":""lncRNA:CR34335"",""chr"":""X"",""start"":3545750,""stop"":3546110},"
CanA-14F,X,16560684,16587172,"{""name"":""CanA-14F"",""chr"":""X"",""start"":16560684,""stop"":16587172},"
asRNA:CR46194,2R,12169558,12171706,"{""name"":""asRNA:CR46194"",""chr"":""2R"",""start"":12169558,""stop"":12171706},"
asRNA:CR46195,X,8564408,8565178,"{""name"":""asRNA:CR46195"",""chr"":""X"",""start"":8564408,""stop"":8565178},"
lncRNA:CR46196,2L,7094515,7095248,"{""name"":""lncRNA:CR46196"",""chr"":""2L"",""start"":7094515,""stop"":7095248},"
lncRNA:CR46197,3L,15758026,15759201,"{""name"":""lncRNA:CR46197"",""chr"":""3L"",""start"":15758026,""stop"":15759201},"
lncRNA:CR46198,3L,5085580,5086229,"{""name"":""lncRNA:CR46198"",""chr"":""3L"",""start"":5085580,""stop"":5086229},"
lncRNA:CR46199,3R,14911205,14911982,"{""name"":""lncRNA:CR46199"",""chr"":""3R"",""start"":14911205,""stop"":14911982},"
lncRNA:CR46200,3L,901888,902396,"{""name"":""lncRNA:CR46200"",""chr"":""3L"",""start"":901888,""stop"":902396},"
lncRNA:CR46202,2L,22046601,22047243,"{""name"":""lncRNA:CR46202"",""chr"":""2L"",""start"":22046601,""stop"":22047243},"
lncRNA:CR46203,3R,12256936,12257638,"{""name"":""lncRNA:CR46203"",""chr"":""3R"",""start"":12256936,""stop"":12257638},"
lncRNA:CR46204,2L,17450494,17452384,"{""name"":""lncRNA:CR46204"",""chr"":""2L"",""start"":17450494,""stop"":17452384},"
lncRNA:CR46205,2L,7404747,7404973,"{""name"":""lncRNA:CR46205"",""chr"":""2L"",""start"":7404747,""stop"":7404973},"
lncRNA:CR46206,2L,12767717,12768765,"{""name"":""lncRNA:CR46206"",""chr"":""2L"",""start"":12767717,""stop"":12768765},"
lncRNA:CR46207,3R,31131542,31132033,"{""name"":""lncRNA:CR46207"",""chr"":""3R"",""start"":31131542,""stop"":31132033},"
lncRNA:CR46208,2L,9663744,9668501,"{""name"":""lncRNA:CR46208"",""chr"":""2L"",""start"":9663744,""stop"":9668501},"
lncRNA:CR46209,2L,19215451,19215967,"{""name"":""lncRNA:CR46209"",""chr"":""2L"",""start"":19215451,""stop"":19215967},"
lncRNA:CR46210,2L,7176037,7176624,"{""name"":""lncRNA:CR46210"",""chr"":""2L"",""start"":7176037,""stop"":7176624},"
lncRNA:CR46211,X,16191134,16191631,"{""name"":""lncRNA:CR46211"",""chr"":""X"",""start"":16191134,""stop"":16191631},"
lncRNA:CR46212,3L,10603772,10604509,"{""name"":""lncRNA:CR46212"",""chr"":""3L"",""start"":10603772,""stop"":10604509},"
lncRNA:CR46213,3L,15319923,15320356,"{""name"":""lncRNA:CR46213"",""chr"":""3L"",""start"":15319923,""stop"":15320356},"
lncRNA:CR46214,3L,16759393,16762683,"{""name"":""lncRNA:CR46214"",""chr"":""3L"",""start"":16759393,""stop"":16762683},"
lncRNA:CR46215,3L,18428524,18429255,"{""name"":""lncRNA:CR46215"",""chr"":""3L"",""start"":18428524,""stop"":18429255},"
lncRNA:CR46216,3L,19243755,19251653,"{""name"":""lncRNA:CR46216"",""chr"":""3L"",""start"":19243755,""stop"":19251653},"
lncRNA:CR46217,3R,12833127,12833725,"{""name"":""lncRNA:CR46217"",""chr"":""3R"",""start"":12833127,""stop"":12833725},"
lncRNA:CR46218,3R,12873131,12874445,"{""name"":""lncRNA:CR46218"",""chr"":""3R"",""start"":12873131,""stop"":12874445},"
lncRNA:CR46219,3R,30715125,30716848,"{""name"":""lncRNA:CR46219"",""chr"":""3R"",""start"":30715125,""stop"":30716848},"
lncRNA:CR46220,3R,30904968,30905532,"{""name"":""lncRNA:CR46220"",""chr"":""3R"",""start"":30904968,""stop"":30905532},"
lncRNA:CR46221,3R,6037787,6038372,"{""name"":""lncRNA:CR46221"",""chr"":""3R"",""start"":6037787,""stop"":6038372},"
lncRNA:CR46224,3R,7318988,7319232,"{""name"":""lncRNA:CR46224"",""chr"":""3R"",""start"":7318988,""stop"":7319232},"
lncRNA:CR46225,3R,7774029,7774583,"{""name"":""lncRNA:CR46225"",""chr"":""3R"",""start"":7774029,""stop"":7774583},"
lncRNA:CR46226,3R,7775410,7775768,"{""name"":""lncRNA:CR46226"",""chr"":""3R"",""start"":7775410,""stop"":7775768},"
lncRNA:CR46227,3L,22708936,22709918,"{""name"":""lncRNA:CR46227"",""chr"":""3L"",""start"":22708936,""stop"":22709918},"
lncRNA:CR46228,3R,8517043,8517384,"{""name"":""lncRNA:CR46228"",""chr"":""3R"",""start"":8517043,""stop"":8517384},"
lncRNA:CR46229,2R,10671648,10672622,"{""name"":""lncRNA:CR46229"",""chr"":""2R"",""start"":10671648,""stop"":10672622},"
lncRNA:CR46230,3L,10796802,10797361,"{""name"":""lncRNA:CR46230"",""chr"":""3L"",""start"":10796802,""stop"":10797361},"
lncRNA:CR46231,3L,10797626,10798408,"{""name"":""lncRNA:CR46231"",""chr"":""3L"",""start"":10797626,""stop"":10798408},"
CR46232,3R,28638621,28639910,"{""name"":""CR46232"",""chr"":""3R"",""start"":28638621,""stop"":28639910},"
lncRNA:CR46233,3R,26637805,26639515,"{""name"":""lncRNA:CR46233"",""chr"":""3R"",""start"":26637805,""stop"":26639515},"
lncRNA:CR46234,2R,18815654,18816452,"{""name"":""lncRNA:CR46234"",""chr"":""2R"",""start"":18815654,""stop"":18816452},"
lncRNA:CR46235,2R,17245061,17245501,"{""name"":""lncRNA:CR46235"",""chr"":""2R"",""start"":17245061,""stop"":17245501},"
lncRNA:CR46236,3R,30630387,30631430,"{""name"":""lncRNA:CR46236"",""chr"":""3R"",""start"":30630387,""stop"":30631430},"
lncRNA:CR46237,2R,12900881,12901613,"{""name"":""lncRNA:CR46237"",""chr"":""2R"",""start"":12900881,""stop"":12901613},"
lncRNA:CR46238,3R,12744672,12745388,"{""name"":""lncRNA:CR46238"",""chr"":""3R"",""start"":12744672,""stop"":12745388},"
lncRNA:CR46239,3R,13864597,13865095,"{""name"":""lncRNA:CR46239"",""chr"":""3R"",""start"":13864597,""stop"":13865095},"
lncRNA:CR46240,3L,11317704,11318357,"{""name"":""lncRNA:CR46240"",""chr"":""3L"",""start"":11317704,""stop"":11318357},"
lncRNA:CR46241,3L,12286342,12286683,"{""name"":""lncRNA:CR46241"",""chr"":""3L"",""start"":12286342,""stop"":12286683},"
lncRNA:CR46242,X,14097599,14097965,"{""name"":""lncRNA:CR46242"",""chr"":""X"",""start"":14097599,""stop"":14097965},"
lncRNA:CR46243,X,3363686,3364060,"{""name"":""lncRNA:CR46243"",""chr"":""X"",""start"":3363686,""stop"":3364060},"
CG46244,2L,19606569,19731561,"{""name"":""CG46244"",""chr"":""2L"",""start"":19606569,""stop"":19731561},"
lncRNA:CR46245,X,7134517,7135480,"{""name"":""lncRNA:CR46245"",""chr"":""X"",""start"":7134517,""stop"":7135480},"
asRNA:CR46246,3L,9597171,9598375,"{""name"":""asRNA:CR46246"",""chr"":""3L"",""start"":9597171,""stop"":9598375},"
corolla,X,17629791,17632047,"{""name"":""corolla"",""chr"":""X"",""start"":17629791,""stop"":17632047},"
lncRNA:CR46247,X,4062859,4064506,"{""name"":""lncRNA:CR46247"",""chr"":""X"",""start"":4062859,""stop"":4064506},"
lncRNA:CR46248,X,1299770,1300333,"{""name"":""lncRNA:CR46248"",""chr"":""X"",""start"":1299770,""stop"":1300333},"
Der-1,2L,1973957,1975413,"{""name"":""Der-1"",""chr"":""2L"",""start"":1973957,""stop"":1975413},"
vib,3R,19215434,19226651,"{""name"":""vib"",""chr"":""3R"",""start"":19215434,""stop"":19226651},"
Tim23,2L,23312465,23313578,"{""name"":""Tim23"",""chr"":""2L"",""start"":23312465,""stop"":23313578},"
mh,X,15472804,15475400,"{""name"":""mh"",""chr"":""X"",""start"":15472804,""stop"":15475400},"
ap,2R,5706202,5727525,"{""name"":""ap"",""chr"":""2R"",""start"":5706202,""stop"":5727525},"
lncRNA:CR46249,3L,550297,551010,"{""name"":""lncRNA:CR46249"",""chr"":""3L"",""start"":550297,""stop"":551010},"
lncRNA:CR46250,3L,27364828,27365990,"{""name"":""lncRNA:CR46250"",""chr"":""3L"",""start"":27364828,""stop"":27365990},"
asRNA:CR46251,3L,12806687,12808545,"{""name"":""asRNA:CR46251"",""chr"":""3L"",""start"":12806687,""stop"":12808545},"
lncRNA:CR46252,3L,27135184,27135726,"{""name"":""lncRNA:CR46252"",""chr"":""3L"",""start"":27135184,""stop"":27135726},"
lncRNA:CR46253,2L,23239253,23240411,"{""name"":""lncRNA:CR46253"",""chr"":""2L"",""start"":23239253,""stop"":23240411},"
lncRNA:CR46254,2L,54817,55767,"{""name"":""lncRNA:CR46254"",""chr"":""2L"",""start"":54817,""stop"":55767},"
asRNA:CR46255,3R,4235294,4235973,"{""name"":""asRNA:CR46255"",""chr"":""3R"",""start"":4235294,""stop"":4235973},"
asRNA:CR46256,2L,13174227,13175365,"{""name"":""asRNA:CR46256"",""chr"":""2L"",""start"":13174227,""stop"":13175365},"
lncRNA:CR46257,2R,9578905,9579271,"{""name"":""lncRNA:CR46257"",""chr"":""2R"",""start"":9578905,""stop"":9579271},"
lncRNA:CR46258,2L,490835,492649,"{""name"":""lncRNA:CR46258"",""chr"":""2L"",""start"":490835,""stop"":492649},"
lncRNA:CR46259,2L,500873,502236,"{""name"":""lncRNA:CR46259"",""chr"":""2L"",""start"":500873,""stop"":502236},"
lncRNA:CR46260,2L,721985,724833,"{""name"":""lncRNA:CR46260"",""chr"":""2L"",""start"":721985,""stop"":724833},"
asRNA:CR46261,3R,22314543,22315162,"{""name"":""asRNA:CR46261"",""chr"":""3R"",""start"":22314543,""stop"":22315162},"
asRNA:CR46262,2L,283807,284255,"{""name"":""asRNA:CR46262"",""chr"":""2L"",""start"":283807,""stop"":284255},"
asRNA:CR46263,2L,286383,288292,"{""name"":""asRNA:CR46263"",""chr"":""2L"",""start"":286383,""stop"":288292},"
ltl,3L,7518997,7528013,"{""name"":""ltl"",""chr"":""3L"",""start"":7518997,""stop"":7528013},"
zf30C,2L,9758342,9762375,"{""name"":""zf30C"",""chr"":""2L"",""start"":9758342,""stop"":9762375},"
CG4836,3R,20013872,20018248,"{""name"":""CG4836"",""chr"":""3R"",""start"":20013872,""stop"":20018248},"
AsnS,3L,21173118,21174973,"{""name"":""AsnS"",""chr"":""3L"",""start"":21173118,""stop"":21174973},"
betaGlu,3R,31769293,31771848,"{""name"":""betaGlu"",""chr"":""3R"",""start"":31769293,""stop"":31771848},"
VAChT,3R,18705501,18718916,"{""name"":""VAChT"",""chr"":""3R"",""start"":18705501,""stop"":18718916},"
asRNA:CR46264,2L,11070785,11071466,"{""name"":""asRNA:CR46264"",""chr"":""2L"",""start"":11070785,""stop"":11071466},"
lncRNA:CR46265,3R,18719623,18719998,"{""name"":""lncRNA:CR46265"",""chr"":""3R"",""start"":18719623,""stop"":18719998},"
asRNA:CR46266,3L,13840611,13842198,"{""name"":""asRNA:CR46266"",""chr"":""3L"",""start"":13840611,""stop"":13842198},"
PheRS-m,2R,13968308,13969902,"{""name"":""PheRS-m"",""chr"":""2R"",""start"":13968308,""stop"":13969902},"
lncRNA:CR46267,3R,16951907,16953770,"{""name"":""lncRNA:CR46267"",""chr"":""3R"",""start"":16951907,""stop"":16953770},"
lncRNA:CR46268,2L,22538230,22548452,"{""name"":""lncRNA:CR46268"",""chr"":""2L"",""start"":22538230,""stop"":22548452},"
asRNA:CR46269,2R,5957588,5959299,"{""name"":""asRNA:CR46269"",""chr"":""2R"",""start"":5957588,""stop"":5959299},"
CG46270,3R,10428137,10428424,"{""name"":""CG46270"",""chr"":""3R"",""start"":10428137,""stop"":10428424},"
dmt,3R,9711142,9714675,"{""name"":""dmt"",""chr"":""3R"",""start"":9711142,""stop"":9714675},"
Dsp1,X,16333612,16340624,"{""name"":""Dsp1"",""chr"":""X"",""start"":16333612,""stop"":16340624},"
lncRNA:acal,2R,10544925,10547260,"{""name"":""lncRNA:acal"",""chr"":""2R"",""start"":10544925,""stop"":10547260},"
FASN1,2L,3056598,3068177,"{""name"":""FASN1"",""chr"":""2L"",""start"":3056598,""stop"":3068177},"
lncRNA:CR46271,2R,18541144,18542454,"{""name"":""lncRNA:CR46271"",""chr"":""2R"",""start"":18541144,""stop"":18542454},"
CR46272,X,20202076,20203054,"{""name"":""CR46272"",""chr"":""X"",""start"":20202076,""stop"":20203054},"
CR46273,X,20209746,20210724,"{""name"":""CR46273"",""chr"":""X"",""start"":20209746,""stop"":20210724},"
CR46274,X,20217402,20218376,"{""name"":""CR46274"",""chr"":""X"",""start"":20217402,""stop"":20218376},"
SdicA,X,20197319,20201933,"{""name"":""SdicA"",""chr"":""X"",""start"":20197319,""stop"":20201933},"
SdicB,X,20205043,20209603,"{""name"":""SdicB"",""chr"":""X"",""start"":20205043,""stop"":20209603},"
SdicC,X,20212738,20217259,"{""name"":""SdicC"",""chr"":""X"",""start"":20212738,""stop"":20217259},"
CR46279,Y,3250355,3251252,"{""name"":""CR46279"",""chr"":""Y"",""start"":3250355,""stop"":3251252},"
PPO1,2R,17887220,17889973,"{""name"":""PPO1"",""chr"":""2R"",""start"":17887220,""stop"":17889973},"
CG46280,3R,13026283,13030659,"{""name"":""CG46280"",""chr"":""3R"",""start"":13026283,""stop"":13030659},"
CG46281,3R,13028920,13030307,"{""name"":""CG46281"",""chr"":""3R"",""start"":13028920,""stop"":13030307},"
solo,2L,15061656,15072133,"{""name"":""solo"",""chr"":""2L"",""start"":15061656,""stop"":15072133},"
vas,2L,15061656,15074311,"{""name"":""vas"",""chr"":""2L"",""start"":15061656,""stop"":15074311},"
Glo1,2R,7393546,7395932,"{""name"":""Glo1"",""chr"":""2R"",""start"":7393546,""stop"":7395932},"
br,X,1575132,1664869,"{""name"":""br"",""chr"":""X"",""start"":1575132,""stop"":1664869},"
Drs,3L,3369556,3369942,"{""name"":""Drs"",""chr"":""3L"",""start"":3369556,""stop"":3369942},"
PolD3,2L,15254819,15256304,"{""name"":""PolD3"",""chr"":""2L"",""start"":15254819,""stop"":15256304},"
slmb,3R,21119252,21127485,"{""name"":""slmb"",""chr"":""3R"",""start"":21119252,""stop"":21127485},"
Vps4,X,17907692,17911097,"{""name"":""Vps4"",""chr"":""X"",""start"":17907692,""stop"":17911097},"
wupA,X,18105568,18116922,"{""name"":""wupA"",""chr"":""X"",""start"":18105568,""stop"":18116922},"
S6k,3L,5797549,5810931,"{""name"":""S6k"",""chr"":""3L"",""start"":5797549,""stop"":5810931},"
S6KL,X,18788464,18806057,"{""name"":""S6KL"",""chr"":""X"",""start"":18788464,""stop"":18806057},"
Dhc16F,X,18064483,18078472,"{""name"":""Dhc16F"",""chr"":""X"",""start"":18064483,""stop"":18078472},"
SF2,3R,16338943,16341988,"{""name"":""SF2"",""chr"":""3R"",""start"":16338943,""stop"":16341988},"
und,2L,9763369,9765338,"{""name"":""und"",""chr"":""2L"",""start"":9763369,""stop"":9765338},"
Alp1,3L,21442227,21444819,"{""name"":""Alp1"",""chr"":""3L"",""start"":21442227,""stop"":21444819},"
Alp2,2R,22206005,22207987,"{""name"":""Alp2"",""chr"":""2R"",""start"":22206005,""stop"":22207987},"
Ak2,2R,24024207,24025877,"{""name"":""Ak2"",""chr"":""2R"",""start"":24024207,""stop"":24025877},"
InR,3R,21570248,21619321,"{""name"":""InR"",""chr"":""3R"",""start"":21570248,""stop"":21619321},"
Sac1,3L,1247817,1250451,"{""name"":""Sac1"",""chr"":""3L"",""start"":1247817,""stop"":1250451},"
lncRNA:CR46115,3R,30697380,30704118,"{""name"":""lncRNA:CR46115"",""chr"":""3R"",""start"":30697380,""stop"":30704118},"
Neurl4,3L,14043694,14049892,"{""name"":""Neurl4"",""chr"":""3L"",""start"":14043694,""stop"":14049892},"
nw,2R,17502354,17508645,"{""name"":""nw"",""chr"":""2R"",""start"":17502354,""stop"":17508645},"
Phm,2R,23985175,23988455,"{""name"":""Phm"",""chr"":""2R"",""start"":23985175,""stop"":23988455},"
Pal1,2R,9959549,9963853,"{""name"":""Pal1"",""chr"":""2R"",""start"":9959549,""stop"":9963853},"
lola,2R,10481894,10543291,"{""name"":""lola"",""chr"":""2R"",""start"":10481894,""stop"":10543291},"
l(2)10685,2L,1147822,1149449,"{""name"":""l(2)10685"",""chr"":""2L"",""start"":1147822,""stop"":1149449},"
Duox,2L,2815970,2830248,"{""name"":""Duox"",""chr"":""2L"",""start"":2815970,""stop"":2830248},"
Vha26,3R,5591763,5595356,"{""name"":""Vha26"",""chr"":""3R"",""start"":5591763,""stop"":5595356},"
Vha13,3R,19643018,19644386,"{""name"":""Vha13"",""chr"":""3R"",""start"":19643018,""stop"":19644386},"
vilya,X,2726678,2727568,"{""name"":""vilya"",""chr"":""X"",""start"":2726678,""stop"":2727568},"
mir-9384,3R,4748664,4748723,"{""name"":""mir-9384"",""chr"":""3R"",""start"":4748664,""stop"":4748723},"
mir-9376,2R,22946867,22946942,"{""name"":""mir-9376"",""chr"":""2R"",""start"":22946867,""stop"":22946942},"
mir-9381,3R,23983496,23983569,"{""name"":""mir-9381"",""chr"":""3R"",""start"":23983496,""stop"":23983569},"
mir-9372,X,633691,633751,"{""name"":""mir-9372"",""chr"":""X"",""start"":633691,""stop"":633751},"
mir-9382,2L,12724957,12725025,"{""name"":""mir-9382"",""chr"":""2L"",""start"":12724957,""stop"":12725025},"
mir-9378,2L,10751877,10751938,"{""name"":""mir-9378"",""chr"":""2L"",""start"":10751877,""stop"":10751938},"
mir-9379,2R,13852845,13852901,"{""name"":""mir-9379"",""chr"":""2R"",""start"":13852845,""stop"":13852901},"
mir-9371,3R,9989120,9989180,"{""name"":""mir-9371"",""chr"":""3R"",""start"":9989120,""stop"":9989180},"
mir-9373,3R,19621080,19621138,"{""name"":""mir-9373"",""chr"":""3R"",""start"":19621080,""stop"":19621138},"
mir-9385,4,400703,400765,"{""name"":""mir-9385"",""chr"":""4"",""start"":400703,""stop"":400765},"
mir-9375,3R,6451551,6451609,"{""name"":""mir-9375"",""chr"":""3R"",""start"":6451551,""stop"":6451609},"
mir-9377,X,12665217,12665268,"{""name"":""mir-9377"",""chr"":""X"",""start"":12665217,""stop"":12665268},"
mir-9380,3R,8348702,8348778,"{""name"":""mir-9380"",""chr"":""3R"",""start"":8348702,""stop"":8348778},"
mir-9374,2L,21238301,21238361,"{""name"":""mir-9374"",""chr"":""2L"",""start"":21238301,""stop"":21238361},"
mir-9383,3R,15221795,15221855,"{""name"":""mir-9383"",""chr"":""3R"",""start"":15221795,""stop"":15221855},"
CG46298,2R,10353368,10354389,"{""name"":""CG46298"",""chr"":""2R"",""start"":10353368,""stop"":10354389},"
lncRNA:CR46299,3R,7318039,7318803,"{""name"":""lncRNA:CR46299"",""chr"":""3R"",""start"":7318039,""stop"":7318803},"
CR46300,3R,7418938,7420698,"{""name"":""CR46300"",""chr"":""3R"",""start"":7418938,""stop"":7420698},"
mir-9370,X,11710252,11710301,"{""name"":""mir-9370"",""chr"":""X"",""start"":11710252,""stop"":11710301},"
mir-9388,3L,22945116,22945207,"{""name"":""mir-9388"",""chr"":""3L"",""start"":22945116,""stop"":22945207},"
mir-9369,X,19551318,19551379,"{""name"":""mir-9369"",""chr"":""X"",""start"":19551318,""stop"":19551379},"
elgi,3L,15956550,15958433,"{""name"":""elgi"",""chr"":""3L"",""start"":15956550,""stop"":15958433},"
CG46301,2L,14104090,14160587,"{""name"":""CG46301"",""chr"":""2L"",""start"":14104090,""stop"":14160587},"
